	age_low	age_high	total_persons	total_share	rural_persons	rural_share	urban_persons	urban_share
0-4	0	4	"93,62,026"	8.33	"54,17,809"	8.8	"39,44,217"	7.76
5-9	5	9	"98,20,654"	8.74	"56,50,613"	9.18	"41,70,041"	8.21
10-14	10	14	"1,07,34,535"	9.55	"62,56,057"	10.16	"44,78,478"	8.81
15-19	15	19	"1,06,27,267"	9.46	"59,79,665"	9.71	"46,47,602"	9.15
20-24	20	24	"1,10,90,966"	9.87	"57,64,844"	9.37	"53,26,122"	10.48
25-29	25	29	"1,01,47,113"	9.03	"50,25,278"	8.16	"51,21,835"	10.08
30-34	30	34	"87,96,307"	7.83	"43,95,201"	7.14	"44,01,106"	8.66
35-39	35	39	"82,47,160"	7.34	"42,23,357"	6.86	"40,23,803"	7.92
40-44	40	44	"71,96,089"	6.4	"37,63,589"	6.11	"34,32,500"	6.75
45-49	45	49	"60,32,454"	5.37	"31,67,108"	5.15	"28,65,346"	5.64
50-54	50	54	"49,19,317"	4.38	"26,19,829"	4.26	"22,99,488"	4.52
55-59	55	59	"38,85,814"	3.46	"21,17,255"	3.44	"17,68,559"	3.48
60-64	60	64	"36,42,480"	3.24	"21,55,343"	3.5	"14,87,137"	2.93
65-69	65	69	"30,78,352"	2.74	"20,08,912"	3.26	"10,69,440"	2.1
70-74	70	74	"21,43,136"	1.91	"14,11,217"	2.29	"7,31,919"	1.44
75-79	75	79	"10,62,773"	0.95	"6,64,727"	1.08	"3,98,046"	0.78
80+	80	120	"11,80,194"	1.05	"7,29,341"	1.18	"4,50,853"	0.89
Age not stated			"4,07,696"	0.36	"2,05,929"	0.33	"2,01,767"	0.4
